Year,Set Number,Main Category,Specific Topic,Core Discussion Question,Other Questions,Suggested Vocabulary or Key Points,Source
2025,1.1,School Life / Sports,Olympic Champion Visit,Prepare for a school visit and interview with Edgar Cheung Ka-long.,How his visit can benefit students; questions to ask him during the interview; other activities you could do on his visit.,Shy teenager to champion; introvert success; impact on society; promoting fencing; elite athletes.,1
2025,1.2,Social Issues / Tourism,Photo-taking in Public Places,Discuss the issue of taking photos in public places.,Why people might not like others taking photos in public places; places in Hong Kong that are popular for taking photos; whether Hong Kong needs to have rules for photo taking.,Social media trends; privacy; Mount Fuji wall; litter/parking; respecting rules; tourism disruption.,1
2025,1.3,Technology,Rise of Smartphones vs PCs,Discuss the rise of smartphones and decline of PCs.,Why smartphones are so popular; whether PCs are still useful for students; whether smartphones will one day completely replace PCs.,Ownership decline; mobile web traffic; gamers/work convenience; replacement potential; screen time.,1
2025,2.1,Hong Kong Culture / Tourism,Travelling to Shenzhen,Discuss the trend of Hong Kong residents travelling north to Shenzhen.,Why trips to Shenzhen are becoming popular; why some Hong Kong people prefer Shenzhen to other places; how Hong Kong businesses could keep people in the city.,Consumption patterns; half-price meals; grocery shopping (Sam's Club); service quality; leisure habits.,1
2025,2.2,Social Issues / Transport,Teenagers Driving Less,Discuss whether it is worth learning to drive in Hong Kong.,The benefits and challenges of being a driver in Hong Kong; whether Hong Kong is a car-friendly city; reasons why so few teenagers learn to drive in Hong Kong.,Sign of adulthood; car costs/insurance; Uber/delivery apps; car-friendly cities; age limits.,1
2025,2.3,Mental Health / Well-being,Phobias among Teenagers,Discuss common fears and phobias among Hong Kong teenagers.,Common fears that Hong Kong teenagers have; why they may have such fears; how they can overcome those fears.,Chelonaphobia; fear of public speaking/cockroaches; self-confidence; hypnotherapy; exposure therapy.,1
2025,3.1,Environment / Tourism,Tourism and Animal Welfare,Discuss the effects of tourism on animals and local communities.,Types of tourist activities that involve animals; how these activities may cause harm to animals; possible benefits of these activities for animals and local communities.,Animal welfare policy; elephant tourism; ban on drugged/abused animals; NGO (PETA); travel awareness.,1
2025,3.2,Social Issues / Media,Individual Pop Performers vs Groups,Discuss changes in pop music trends and social media influence.,Whether music groups are popular in Hong Kong; whether it is better to watch a performance by a music group or an individual; how social media has affected trends.,Billboard Hot 100; solo activity (Instagram/YouTube); laptop recording; music instruments; fan culture.,1
2025,3.3,Mental Health / Well-being,Self-Care,Discuss importance of self-care and planning a school Self-Care Month.,Whether Hong Kong students are aware of the importance of self-care; activities to organise during the Self-Care Month; ways to encourage students to take part.,Symptoms of stress; exercise/sleep/diet; pairing activities; mental health NGO; school promotion.,1
2025,4.1,School Life / Culture,Anime and Movie Festivals,Plan a Movie Festival at school.,Whether anime movies would be suitable for the festival; other types of movies that are popular among students; other activities to organise for the festival.,Studio Ghibli; resilience theme; global audience; uncertainty; artistic value; happy endings.,1
2025,4.2,Careers / Mental Health,Personality Tests for Careers,Discuss the use of personality tests (MBTI) in finding a job.,Benefits of using personality tests for choosing a career; problems with using personality tests for choosing a career; other ways to decide how to choose the right career.,16 personality types; identifying strengths; work preferences; employer use; decision factors.,1
2025,4.3,Social Issues / Youth,Scouting and Better World,Discuss starting a Scouting Club at school.,Benefits of Scouting for secondary school students; activities to organise for the club; ways to encourage other students to join the club.,UN goals; ending poverty; nature; community life; World Scout Jamboree; peace/friendship.,1
2025,5.1,Hong Kong Culture / Social Issues,Bamboo Scaffolding,Discuss bamboo scaffolding as a sustainable skill and cultural heritage.,Benefits of using bamboo for scaffolding; ways of improving the safety of bamboo scaffolding; whether bamboo scaffolding is part of Hong Kong's heritage.,Construction skill; 'spiders'; sustainability; bravery/skill; odd/tight spaces; cultural heritage.,1
2025,5.2,Social Issues / Well-being,Energy Drinks and Teenagers,Discuss the impact of coffee and energy drinks on teenagers.,Negative effects of coffee and energy drinks on teenagers' health; what the club can do to make those effects known; whether coffee and energy drinks should be sold to teenagers.,Banning sales; over-caffeinated; heart/blood vessels; health issues; moderation; teenager desire.,1
2025,5.3,Education / Lifestyle,Gap Year,Discuss taking a gap year after secondary school.,Benefits of taking a gap year; challenges of taking a gap year; activities young people could do during their gap year.,Exploring the world; spiritual life; volunteering; career-driven vs. inner peace; life direction.,1
2025,6.1,Environment / Social Issues,Second-hand Luxury Clothes,Discuss a project on second-hand clothing culture in Hong Kong.,What Hong Kong people normally do with their unwanted clothes; why second-hand fashion is growing in Hong Kong; ways to promote second-hand fashion.,Sustainability; Redress NGO; pop-up stores; carbon footprint; reselling online; unwanted clothes.,1
2025,6.2,Education / Culture,Learning Korean Language,Discuss learning a foreign language (Korean) in school.,Why Hong Kong students should learn other languages; which other languages would be popular among students; how students can learn other languages outside the classroom.,K-pop influence; career prospects; trilingual HK; study destination; Asian vs. European.,1
2025,6.3,School Life / Tourism,Adventure School Trips,Discuss adventure trip choices for the school.,Which trip would be most beneficial for students to join; problems and challenges that the students might face on the trip; how to convince parents to let their children join.,Ningaloo Reef (Australia); Volcanic cave (Iceland); Stargazing (Morocco); educational tours.,1
2025,7.1,School Life / Science,Urban Beekeeping,Discuss putting a beehive on the school campus for a project.,Benefits of beekeeping at school; problems that beekeeping could cause at school; other activities that could help students to learn about bees.,Biology project; hives on campus; safety for students; connection with nature; stingless bees.,1
2025,7.2,Technology / Media,Subtitles in Media,Discuss adding subtitles to school Campus TV programmes.,Benefits of adding subtitles to the programmes; whether adding subtitles would be popular among students; type of programmes subtitles are not suitable for.,Campus TV; 18-25 age group; streaming quality; background noise; learning a language.,1
2025,7.3,Technology / Careers,Personal Shopper as a Career,Discuss personal shopping as a job trend vs AI.,Whether being a personal shopper would be a good job for teenagers; if AI will one day replace human salespeople; how shopping will change in the future.,Artificial Intelligence; professional clothing; expert knowledge; face-to-face shopping; future jobs.,1
2025,8.1,Technology / Tourism,Social Media Apps and HK Tourism,Create a video for young tourists visiting Hong Kong.,Famous places to include in the video; activities to show in the video; difficulties your group may face while making the video.,Instagram-like app; photo spots (Kennedy Town); influencers; nostalgic vibe; romantic scenery.,1
2025,8.2,Technology / Lifestyle,History of Video Games (Super Mario),Discuss a class project about video games.,Why people still play classic games like Super Mario Bros; what makes a video game popular for a long time; what video games will be like in the future.,Nostalgia; augmented reality; adventure games; artistic value; superheroes vs. ordinary.,1
2025,8.3,Technology / Careers,LinkedIn Popularity,Discuss the growth of career-focused social media among teens.,Why teenagers may be turning away from other social media sites; whether social media is useful for finding career information; whether students should be concerned about future careers.,Professional network; success at work; positive tone; role models; future job trends.,1
2024,1.1,Technology / Culture,Digital Museums,Discuss why museums put collections online and how local museums compete.,Why some museums want to put their art collections online; how viewing art online is different from viewing it in person; how local museums can compete with digital museums to attract visitors.,Digitisation; bypassing geographic barriers; open access platform; high-resolution technology; interactive/gamified experience; AR (augmented reality); virtual tours; preservation of culture.,2
2024,1.2,Social Issues / Lifestyle,Food Delivery Workers,Discuss the popularity of delivery apps and working conditions.,The popularity of food delivery apps; the challenges/changes of working as a food delivery worker; how to improve the working conditions of food delivery workers.,"Convenience vs exploitation; gig economy; minimum wage; lack of protections (paid leave, insurance); working conditions; ethical dilemma; per-trip payment; job security.",2
2024,1.3,Hong Kong Culture / Lifestyle,'Ugly' Buildings,Discuss whether 'ugly' buildings should be kept or replaced.,Whether it is important for buildings to look attractive; reasons for keeping buildings that many people consider ugly; how to decide whether a building should stay or be replaced.,Aesthetic value vs functionality; cultural heritage; urban renewal; preservation; public opinion; architectural diversity; historical significance; cost of replacement.,2
2024,2.1,Global Issues / Tourism,Tourism Management,Discuss the impact of tourism and management strategies.,"Benefits tourism can bring to a city; problems tourism can bring to a city; whether Hong Kong should follow any of the management strategies (tax, locals first, timed entry, ban).","Sustainable tourism; over-tourism; tourist tax; timed entry; resident quality of life; economic benefits; management strategies (e.g., bans, quotas); balancing local and tourist needs.",2
2024,2.2,Technology / Transport,Driverless Tram for HK,Discuss the driverless tram concept for Hong Kong.,Whether driverless trams are a good idea for Hong Kong; whether the public would like this design; other features which could be added to the tram.,Safety sensors; pedestrian detection; see-through top; futuristic design; wooden counters; forward-thinking spirit; automation; urban transport innovation.,2
2024,2.3,Mental Health / Well-being,Comfort Food,Discuss why people eat comfort food and healthy diet impacts.,Reasons why people eat comfort food; whether comfort food can be part of a healthy diet; other ways to reduce stress and improve mental health.,"Emotional eating; stress relief; nostalgia; nutritional balance; psychological well-being; moderation; cultural comfort foods (e.g., noodles, soup).",2
2024,3.1,Social Issues / Lifestyle,Multi-functional Cafés,Discuss the trend of multi-functional cafés in HK.,Why multi-functional cafés are popular; which multi-functional café will attract the most customers; what advice you have for people who want to open one.,Experience economy; board game caf?s; pet caf?s; study/work spaces; social hub; unique selling point (USP); diversification; community building.,2
